Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Девдюк,Мирон,Тарасович,Чоловік,1941-02-22,Фермер,місто Умань,"провулок Виноградна 3-тя, буд. 45, Родинське, 76024",880 84 73,valentyn84@example.org
Затула,Ігнат,Петрович,Чоловік,1974-10-27,Промисловець,селище Дружба ,"набережна Житомирський 4-й, буд. 623, Павлоград, 96907",021 438-37-31,riaboshapkaleontii@example.org
Гаврилюк,Венедикт,Юрійович,Чоловік,1944-12-21,Льотчик,село Миколаївка ,"проспект Текстильників, буд. 26 кв. 6, Світлодарськ, 01951",714 89 08,bohodarkhorishko@example.org
Ляшко,Марко,Дмитрович,Чоловік,1960-07-14,Випробувач,село Судова Вишня,"проспект Мостовий, буд. 010 кв. 5, Нововолинськ, 45404",246-30-51,bevzparmen@example.org
Вернигора,Аарон,Максимович,Чоловік,1969-06-15,Гірник,селище Перевальськ,"площа Бреуса, буд. 448 кв. 13, Підгородне, 17744",977-02-61,neporozhniifedir@example.org
Ґоляш,Борис,Володимирович,Чоловік,1975-10-31,Музичний редактор,селище Глиняни,"шосе Яші Гордієнка, буд. 11 кв. 415, Золотоноша, 37646",+380 (13) 398-72-80,kishchak@example.net
Шеремета,Сергій,Михайлович,Чоловік,2004-12-22,Клоун,селище Брянка,"шосе Манежний, буд. 14 кв. 618, Золочів, 98637",095 272-15-35,pavloshvedchenko@example.org
Свистун,Ігор,Олегович,Чоловік,1947-09-30,Педагог,селище Вознесенівка,"сквер Агрономічний, буд. 08, Іршава, 19362",+380 20 870-41-61,lukianlysenko@example.net
Ковалюк,Роман,Михайлович,Чоловік,2005-09-08,Кінолог,селище Хорол ,"шосе Літературна, буд. 874, Українськ, 36195",668 58 12,treva@example.org
Цюпа,Богдан,Богданович,Чоловік,1942-07-13,Геолог,хутір Дрогобич,"набережна Миколи Плигуна, буд. 4 кв. 25, Кодима, 81438",+380 85 199 59 20,tetianaiatsenko@example.org
Влох,Гліб,Романович,Чоловік,2002-01-06,Євнух,село Корюківка,"сквер Водопровідний 1-й, буд. 13, Богодухів, 73798",256-73-83,aiatsenko@example.org
Оберемко,Миколай,Миколайович,Чоловік,1968-04-21,Епідеміолог,село Прип'ять ,"узвіз Садова 2-га, буд. 367 кв. 365, Миргород, 19776",+380 08 914 13 64,korbutanita@example.net
Масоха,Левко,Романович,Чоловік,2002-06-27,Стоматолог,місто Харцизьк,"проспект Кільовий, буд. 288, Ковель, 69286",017 315 44 05,makar46@example.com
Рябченко,Алевтин,Андрійович,Чоловік,1994-02-03,Історик,село Чорноморськ,"парк Лучиста, буд. 168, Луганськ, 71713",074 435-13-12,saliilukian@example.com
Москаль,Пилип,Іванович,Чоловік,1975-09-30,Парфюмер,місто Новоселиця,"провулок Сирітський 2-й, буд. 4 кв. 5, Мена , 49711",090 009-94-50,hiukhymenko@example.com
Піддубна,Петро,Михайлович,Чоловік,1961-05-10,Сценарист,село Знам'янка,"узвіз Цебриківська, буд. 0 кв. 590, Переяслав, 22366",+380 71 466-93-63,violettazhalilo@example.net
Жадан,Борислав,Миколайович,Чоловік,1962-12-07,Петрограф,селище Миронівка,"узвіз Квітнева, буд. 3, Ладижин, 86361",329 63 71,okhrimdankevych@example.org
Дерегус,Георгій,Олегович,Чоловік,1974-12-06,Няня,село Христинівка,"набережна Просвіти, буд. 31, Скалат, 39019",827-22-20,tereza12@example.org
Гавриш,Леон,Федорович,Чоловік,1969-06-04,Соціолог,селище Слов'янськ,"шосе Лавкова, буд. 29, Ходорів, 80691",053 390 32 27,trokhym31@example.net
Гайдабура,Павло,Євгенович,Чоловік,1985-11-09,Реставратор,селище Бунге ,"набережна Кишинівська, буд. 41 кв. 196, Хмільник, 43414",+380 00 989-46-35,kovaliuksviatoslav@example.net
Демиденко,Олександр,Павлович,Чоловік,1966-02-07,Астронавт,село Новодністровськ,"узвіз Армійська, буд. 44 кв. 66, Павлоград, 47016",+380 00 971-79-80,vitaliilytvyn@example.org
Стус,Євген,Григорійович,Чоловік,1980-05-16,Льотчик,хутір Герца,"узвіз Дунаєвського 3-й, буд. 48, Кривий Ріг, 55110",013 976 86 05,bevzmyron@example.com
Ніколюк,Орест,Романович,Чоловік,2006-07-17,Журналіст,село Мар'їнка,"сквер Тепла, буд. 62, Петрово-Красносілля, 97821",+380 (19) 315-82-72,lesartymyshyn@example.org
Свириденко,Аарон,Максимович,Чоловік,1939-11-05,Палеонтолог,селище Снятин,"сквер Лесі Українки, буд. 051, Лиман , 96333",283-31-73,iefremisaienko@example.net
Василенко,Ярослав,Григорійович,Чоловік,1994-09-23,Палеонтолог,хутір Вознесенськ,"шосе Богуна, буд. 200 кв. 338, Бережани, 67951",+380 72 070 48 37,hennadiidrozdenko@example.org
Артим,Леон,Романович,Чоловік,1950-08-17,Сценарист,селище Бучач,"площа Кордонний, буд. 3 кв. 235, Зугрес, 17934",072 686 73 67,ctereshchuk@example.com
Величко,Панас,Максимович,Чоловік,1998-10-29,Візажист,місто Узин,"проспект Штабний, буд. 738, Буринь, 94832",+380 (83) 837-09-66,iukhymenkoopanas@example.org
Лукаш,Павло,Петрович,Чоловік,1960-10-26,Медик,селище Армянськ,"проспект Бородінська, буд. 3 кв. 966, Бурштин , 98645",+380 06 020 95 37,dan91@example.net
Дацюк,Степан,Андрійович,Чоловік,1982-05-01,Кіноактор,селище Бурштин ,"узвіз Магнітогорський 2-й, буд. 1 кв. 24, Ватутіне, 04911",+380 22 701-23-13,wbevz@example.net
Сомко,Ярема,Тарасович,Чоловік,1969-07-11,Секретар,село Бобринець,"набережна Балтський 4-й, буд. 986, Одеса, 24897",572 98 78,panas15@example.com
Гук,Симон,Олександрович,Чоловік,1948-01-26,Єгер,місто Сіверськ,"вулиця Остапа Вишні, буд. 200, Новий Калинів, 05828",+380 67 854-43-72,wvoblyi@example.net
Єрошенко,Орест,Іванович,Чоловік,1938-11-29,Машиніст,село Новояворівськ,"сквер Історія Футболу, буд. 176, Узин, 29005",087 574 48 66,ishvachka@example.org
Захаренко,Едуард,Дмитрович,Чоловік,1978-09-29,Електромонтер,місто Ічня,"проспект Поїзна, буд. 5, Хрустальний, 68040",+380 (07) 471-97-65,skybaonysym@example.net
Єременко,Борис,Максимович,Чоловік,1959-05-22,Художник,селище Генічеськ,"проспект Кропивницького, буд. 563, Трускавець, 80878",021-90-18,petroumanets@example.org
Ванченко,Святослав,Миколайович,Чоловік,1969-03-03,Електромонтер,місто Зіньків,"парк Лінія 26-та, буд. 150 кв. 25, Васильків, 86129",619-87-03,iaryna78@example.net
Ірванець,Костянтин,Вікторович,Чоловік,2003-10-19,Паралегал,село Таврійськ,"сквер Сєрогодського, буд. 78, Перечин, 38597",028 53 89,orestatamaniuk@example.org
Ярош,Демид,Юрійович,Чоловік,2006-05-26,Фрілансер,хутір Хмільник,"набережна Петра Лещенка, буд. 6 кв. 6, Дебальцеве, 53752",697-10-55,qrudyk@example.net
Шморгун,Дан,Романович,Чоловік,1992-04-22,Біолог,село Євпаторія,"набережна Дачна, буд. 277 кв. 215, Миколаївка , 08654",468 97 26,feofan72@example.com
Чекалюк,Зиновій,Максимович,Чоловік,1992-11-05,Біолог,селище Хорол ,"сквер Пісочний, буд. 898, Теребовля, 23163",060 809-19-48,skarmaliuk@example.org
